name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
bremen,2022-02-01T00:00:00,2.6,0.4,1.4,91.2,0,0,,0,0.3,20.9,7.9,240,1014.6,100,10,0,0,0,10,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T01:00:00,3.1,-1.9,1.9,91.27,0.007,100,rain,0,0,42.1,25.1,300,1015.1,100,10,,,,10,"Rain, Overcast",rain,"04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T02:00:00,2.7,-1.5,1.2,89.88,0.004,100,snow,0,0,43.9,17.3,280,1015.5,100,10.1,0,0,0,10,"Snow, Overcast",rain,"04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T03:00:00,2.4,-1.9,0.2,85.52,0,0,,0,0,47.5,17.6,280,1015.5,100,22,0,0,0,10,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T04:00:00,2.6,-1.8,-0.3,80.77,0,0,,0,0,43.2,19.4,280,1015,76.9,22,0,0,0,10,Partially cloudy,partly-cloudy-night,"04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T05:00:00,2.8,-1.7,-0.1,80.85,0.001,100,rain,0,0,43.2,20.5,250,1014.7,98.6,25,0,0,0,10,"Rain, Overcast",rain,"04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T06:00:00,1.9,-2.7,0.1,87.85,0,0,,0,0,46.8,19.1,250,1014.6,100,25,0,0,0,10,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T07:00:00,2.6,-2.1,0.8,88,0,0,,0,0,47.5,21.9,240,1014,95.4,25,,,,10,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T08:00:00,3,-1.8,1.2,87.47,0.001,100,rain,0,0,49.7,23.4,250,1013.8,99,25,0,0,0,10,"Rain, Overcast",rain,"04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T09:00:00,3.5,-1.6,1.6,87.44,0.19,100,rain,0,0,50,27,240,1012.4,95.2,30,26,0.1,0,10,"Rain, Overcast",rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T10:00:00,4.1,-0.8,1.6,83.38,0,0,,0,0,52.9,27.4,230,1010.7,100,30,48,0.2,0,10,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T11:00:00,4,-1.1,2.4,88.9,0.002,100,rain,0,0,58.7,28.8,230,1008.9,100,8,40,0.1,0,10,"Rain, Overcast",rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T12:00:00,4.5,-0.8,3.6,93.4,0.119,100,rain,0,0,67.7,32.7,230,1007.5,100,4,37,0.1,0,10,"Rain, Overcast",rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T13:00:00,5.3,-0.1,4.5,94.67,0.513,100,rain,0,0,68,37.8,240,1005.3,100,4,60,0.2,1,10,"Rain, Overcast",rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T14:00:00,6.5,1.6,5.4,92.2,0.702,100,rain,0,0,61.9,36.7,260,1004.4,100,7.2,46,0.2,0,10,"Rain, Overcast",rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-02-01T15:00:00,7.3,3.1,6.2,92.23,0.04,100,rain,0,0,62.3,29.9,260,1003.6,100,8,29,0.1,0,10,"Rain, Overcast",rain,"E8845,04275,00704,05014,00691,00044,05822"
