Demand,Hour,Day of week,Specific hour,datetime,temp,windspeed,visibility,conditions
100,0,Monday,0,2022-01-03T00:00:00,10.1,18.0,22.0,"Rain, Partially cloudy"
77,1,Monday,1,2022-01-03T01:00:00,9.4,20.6,18.0,"Rain, Partially cloudy"
52,2,Monday,2,2022-01-03T02:00:00,8.2,48.5,18.0,"Rain, Partially cloudy"
20,3,Monday,3,2022-01-03T03:00:00,7.9,33.4,18.0,"Rain, Partially cloudy"
11,4,Monday,4,2022-01-03T04:00:00,9.0,31.6,18.0,"Rain, Partially cloudy"
29,5,Monday,5,2022-01-03T05:00:00,9.3,31.3,22.0,Rain
64,6,Monday,6,2022-01-03T06:00:00,9.1,32.0,25.0,Rain
74,7,Monday,7,2022-01-03T07:00:00,8.9,28.4,12.1,"Rain, Partially cloudy"
40,8,Monday,8,2022-01-03T08:00:00,8.7,29.5,25.0,"Rain, Partially cloudy"
73,9,Monday,9,2022-01-03T09:00:00,8.9,26.6,10.1,"Rain, Partially cloudy"
113,10,Monday,10,2022-01-03T10:00:00,9.3,27.7,20.0,"Rain, Partially cloudy"
147,11,Monday,11,2022-01-03T11:00:00,9.5,25.6,20.0,"Rain, Partially cloudy"
160,12,Monday,12,2022-01-03T12:00:00,9.2,27.7,20.0,"Rain, Partially cloudy"
183,13,Monday,13,2022-01-03T13:00:00,9.8,32.0,20.0,Clear
156,14,Monday,14,2022-01-03T14:00:00,9.6,28.4,21.9,"Rain, Partially cloudy"
128,15,Monday,15,2022-01-03T15:00:00,10.0,30.2,24.9,"Rain, Partially cloudy"
240,16,Monday,16,2022-01-03T16:00:00,9.8,31.3,25.0,"Rain, Partially cloudy"
270,17,Monday,17,2022-01-03T17:00:00,8.7,22.3,25.0,"Rain, Partially cloudy"
280,18,Monday,18,2022-01-03T18:00:00,7.7,34.5,25.0,"Rain, Partially cloudy"
270,19,Monday,19,2022-01-03T19:00:00,8.3,26.6,30.0,"Rain, Partially cloudy"
241,20,Monday,20,2022-01-03T20:00:00,7.9,21.9,30.0,Partially cloudy
198,21,Monday,21,2022-01-03T21:00:00,8.3,21.9,30.0,Partially cloudy
151,22,Monday,22,2022-01-03T22:00:00,8.1,23.0,30.0,Overcast
85,23,Monday,23,2022-01-03T23:00:00,7.7,19.1,30.0,Overcast
106,24,Tuesday,0,2022-01-04T00:00:00,7.8,19.8,30.0,Overcast
81,25,Tuesday,1,2022-01-04T01:00:00,7.8,15.8,30.0,Overcast
54,26,Tuesday,2,2022-01-04T02:00:00,7.7,19.4,25.0,Overcast
20,27,Tuesday,3,2022-01-04T03:00:00,7.2,17.3,20.0,Overcast
10,28,Tuesday,4,2022-01-04T04:00:00,7.2,16.2,18.0,Overcast
30,29,Tuesday,5,2022-01-04T05:00:00,6.7,13.0,15.0,Overcast
68,30,Tuesday,6,2022-01-04T06:00:00,7.1,13.3,12.0,"Rain, Overcast"
98,31,Tuesday,7,2022-01-04T07:00:00,7.2,14.8,12.0,Overcast
36,32,Tuesday,8,2022-01-04T08:00:00,7.5,16.9,8.0,"Rain, Overcast"
82,33,Tuesday,9,2022-01-04T09:00:00,7.6,16.2,15.0,Overcast
102,34,Tuesday,10,2022-01-04T10:00:00,7.6,19.4,18.0,"Rain, Overcast"
133,35,Tuesday,11,2022-01-04T11:00:00,7.8,21.6,10.0,"Rain, Overcast"
145,36,Tuesday,12,2022-01-04T12:00:00,7.1,23.4,12.0,"Rain, Overcast"
166,37,Tuesday,13,2022-01-04T13:00:00,6.6,19.8,25.0,"Rain, Overcast"
140,38,Tuesday,14,2022-01-04T14:00:00,6.6,17.3,25.0,"Rain, Overcast"
115,39,Tuesday,15,2022-01-04T15:00:00,5.4,20.5,34.9,"Rain, Overcast"
230,40,Tuesday,16,2022-01-04T16:00:00,4.8,13.6,40.0,"Rain, Overcast"
265,41,Tuesday,17,2022-01-04T17:00:00,4.2,11.2,40.0,Overcast
231,42,Tuesday,18,2022-01-04T18:00:00,3.6,15.1,40.0,Overcast
202,43,Tuesday,19,2022-01-04T19:00:00,3.1,15.8,40.0,Overcast
162,44,Tuesday,20,2022-01-04T20:00:00,2.7,17.3,40.0,Partially cloudy
