Demand,Hour,Day of week,Specific hour
100.0,0,Monday,0
77.0,1,Monday,1
52.0,2,Monday,2
20.0,3,Monday,3
11.0,4,Monday,4
29.0,5,Monday,5
64.0,6,Monday,6
93.0,7,Monday,7
50.0,8,Monday,8
91.0,9,Monday,9
141.0,10,Monday,10
184.0,11,Monday,11
200.0,12,Monday,12
183.0,13,Monday,13
156.0,14,Monday,14
128.0,15,Monday,15
240.0,16,Monday,16
270.0,17,Monday,17
280.0,18,Monday,18
270.0,19,Monday,19
241.0,20,Monday,20
198.0,21,Monday,21
151.0,22,Monday,22
85.0,23,Monday,23
106.0,24,Tuesday,0
81.0,25,Tuesday,1
54.0,26,Tuesday,2
20.0,27,Tuesday,3
10.0,28,Tuesday,4
30.0,29,Tuesday,5
68.0,30,Tuesday,6
98.0,31,Tuesday,7
45.0,32,Tuesday,8
82.0,33,Tuesday,9
127.0,34,Tuesday,10
166.0,35,Tuesday,11
181.0,36,Tuesday,12
166.0,37,Tuesday,13
140.0,38,Tuesday,14
115.0,39,Tuesday,15
230.0,40,Tuesday,16
241.0,41,Tuesday,17
231.0,42,Tuesday,18
202.0,43,Tuesday,19
162.0,44,Tuesday,20
120.0,45,Tuesday,21
82.0,46,Tuesday,22
41.0,47,Tuesday,23
100.0,48,Wednesday,0
77.0,49,Wednesday,1
52.0,50,Wednesday,2
20.0,51,Wednesday,3
10.0,52,Wednesday,4
29.0,53,Wednesday,5
64.0,54,Wednesday,6
94.0,55,Wednesday,7
60.0,56,Wednesday,8
100.0,57,Wednesday,9
136.0,58,Wednesday,10
150.0,59,Wednesday,11
136.0,60,Wednesday,12
99.0,61,Wednesday,13
66.0,62,Wednesday,14
40.0,63,Wednesday,15
223.0,64,Wednesday,16
250.0,65,Wednesday,17
260.0,66,Wednesday,18
250.0,67,Wednesday,19
223.0,68,Wednesday,20
183.0,69,Wednesday,21
140.0,70,Wednesday,22
79.0,71,Wednesday,23
79.0,72,Thursday,0
61.0,73,Thursday,1
25.0,74,Thursday,2
10.0,75,Thursday,3
33.0,76,Thursday,4
69.0,77,Thursday,5
14.0,78,Thursday,6
36.0,79,Thursday,7
78.0,80,Thursday,8
137.0,81,Thursday,9
200.0,82,Thursday,10
240.0,83,Thursday,11
241.0,84,Thursday,12
199.0,85,Thursday,13
150.0,86,Thursday,14
108.0,87,Thursday,15
288.0,88,Thursday,16
300.0,89,Thursday,17
288.0,90,Thursday,18
253.0,91,Thursday,19
203.0,92,Thursday,20
150.0,93,Thursday,21
102.0,94,Thursday,22
51.0,95,Thursday,23
60.0,96,Friday,0
46.0,97,Friday,1
20.0,98,Friday,2
10.0,99,Friday,3
26.0,100,Friday,4
52.0,101,Friday,5
15.0,102,Friday,6
39.0,103,Friday,7
79.0,104,Friday,8
133.0,105,Friday,9
181.0,106,Friday,10
201.0,107,Friday,11
181.0,108,Friday,12
133.0,109,Friday,13
87.0,110,Friday,14
53.0,111,Friday,15
340.0,112,Friday,16
324.0,113,Friday,17
